die Persönlickeit;la personnalité
der Berg;la montagne
die Zusammenfassung;le résumé
der Läufer/die Läuferin;le coureur/la coureuse
der Kopf;la tête
der Muskel;le muscle
die Lust;l'envie
das Herz;le coeur
mutig;courageux/courageuse
engagiert;engagé/engagée
die Nonne;la religieuse
die Religion;la religion
die Ausgrenzung;l'exclusion
die Armut;la pauvreté
die Philosophie;la philosophie
daran denken;penser à
der Alltag;la vie quotidienne
die Operation;l'opération
die Orange;l'orange
das Vitamin;la vitamine
die Solidarität;la solidarité
etw bekommen;obtenir qc
jdn/etw anprangen;dénoncer qn/qc
die Gewalt;la violence
der Rassismus;le racisme
dies ist nicht/kein;ceci n'est pas
etw malen;peindre qc
der/die Maler/in;le/la peintre
das Gemälde;le tableau
jdn heiraten;épouser qn
jdn kennenlernen;faire la connaissance de qn
der/die Künstler/in;l'artiste
die Nazis;les nazis
deshalb;c'est pourquoi
das Tagebuch;le journal
etw ersetzen;remplacer qc
der Mensch;l'humain
obligatorisch;obligatoire
sich entscheiden;se décider
der Ruhm;la gloire
der Werdegang;le parcours
leer;vide
in Panik geraten;paniquer
die Melodie;la mélodie
der Liedtext;les paroles
unbekannt;inconnu/inconnue
die Präsentation;la présentation
etw vorspielen;passer qc
die Botschaft;le message
zum Schluss;pour finir
seine Meinung äussern;donner son avis
die Aufmerksamkeit;l'attention
...ist dran;c'est à
etw herunterladen;télécharger qc
der Reggae;le reggae
gut drauf sein;avoir la patate
übrigens;à propos
der/die illegale Einwander/in;le/la sans-papiers
etw beenden;arrêter qc
das M�öbelstück;Le meuble
