Zwei gut gekleidete Herren begleiten die Presidäntin.;Deux messieurs bien habillés accompagnet la présidente.
In der Nationalversammlung gibt es immer noch mehr Männer als Frauen.;à l'Assemblée, il y a encore plus d'hommes que de femmes.
Während Ihres Praktikums wird sich Frau Martin um Sie kümmern.;C'est Madame Martin qui s'occupera de vous pendant votre stage.
Es gibt ein Lid, das sagt, dass alle Grauen schön sind.;Il y a une chanson qui dit que toutes les femmes sont belles.
Wer ist diese Dame neben dem Direktor?;Qui est cette dame à côté du directeur?
Ich stelle Ihnen Frau Legrand, meine ältere Schwester, vor.;Je vous présente Madamoiselle Legrand, ma soeur aînée.
Kinderreiche Familien haben selten mehr als vier Kinder.;Les familles nombreuses ont rarement plus de quatre enfants.
Der erste Junge, mit dem ich ausgegangen bin, hiess Thomas.;Le premier garcon avec qui je suis sortie s'appelait Thomas.
Früher gingen Jungen und Mädchen nicht in die gleiche Schule.;Autrefois, les garcons et les filles n'allaient pas à la même école.
Ich heisse Rudolf, aber man nennt mich Rudi.;Je m'appelle Rudolf, mais on m'appelle Rudi.
Wie heisst du? - Ich heisse Jörg.;Comment tu t'appelles? - Je m'appelle Jörg.
Martin ist der gebräuchlichste fanzöische Nachname.;Martin est le nom francais le plus courant.
Mein Familienname ist Weber, aber Sie können Stefan zu mir sagen.;Mon nom de famille est Weber, mais vous pouvez m'appeler Stefan.
Wie heisst du mit Vornamen?;C'est quoi, ton prénom?
Immer mehr nicht verheiratete Paare haben Kinder.;De plus en plus de couples non mariés ont des enfants.
Mein Schwager ist verwitwet, aber noch jung, und trotzdem will er nicht wieder heiraten.;Mon beau-frère est veuf mais encore jeune, et pourtant il ne veut pas se remarier.
Sie sind seit fünf Jahren getrennt, aber wegen der Kinder verbringen sie ihre Ferien zusammen.;Ils sont séparés depuis cinq ans mais ils passent leurs vacances ensemble pour les enfants.
Sie kommt aus einem kleinen Dorf in der Nähe von Paris.;Elle vient d'un petit village pr�ès de Paris.
Denk daran, mir deine neue Adresse zu geben!;Pense à me donner ta nouvelle adresse!
Können Sie mir sagen, wo die Strasse zum Rathaus ist?;Vous pouvez me dire ooù est la rue qui mène à l'hôtel de ville?
Soger von Weitem ist die Hausnummer gut sichtbar.;Même de loin, le numéro de la maison est bien visible.
Könnte ich einen Tisch für vier Personen reservieren?;Je pourrais réserver une table pour quatre personnes?
Meine Schwester erwartet ein Baby.;Ma soeur attend un bébé.
Man wird mit 18 Jahren volljährig.;On devient majeur à 18 ans.
Wenn man nminderjährig ist, braucht man die Erlaubnis der Eltern, um zu heiraten.;Quand on est mineur, il faut l'autorisation des parents pour se marier.
Ich arbeite in Lyon und mein Wohnort ist in Toulon.;Je travaille à Lyon et mon domicile est à Toulon.
Geben Sie bitte Ihren Namen und Ihre Staatsangehörigkeit an.;Veuillez indiquer votre nom et votre nationalité.
Es ist sehr wichtig, dass Sie der Botschaft alle Änderungen Ihres Familienstands mitteilen.;Il est très important que vous communiquiez toutes les modifications de votre état civil à l'ambassade.
Sie ist ledig, will aber nicht, dass man Mademoiselle zu ihr sagt.;Elle est célibataire, mais elle ne veut pas qu'on lui dise madamoiselle.
Ich kann ihn nicht heiraten, weil er noch nicht geschieden ist.;Je ne peux pas l'épouser, car il n'est pas envore ddivorcé.
Kann man sich das Geschlecht seines Kindes aussuchen?;Peut-on choisir le sexe de son enfant?
Pipo was für ein komischer Spitzname für einen bedeutenenden Mann.;Pipo quel drôle de surnom pour un homme si important.
Er wird manchmal wütend, aber eigentlich ist er ein lieber Kerl.;Il se met parfois en colère, mais finalement, c'est un brave type.
